Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,2,20,20,true,3,5,8,10,1,7,12,2,12,9,7,2,5,14,10,9,15,6,2,7,11,8,12,9,14,14,6,7,15,11,3,14,1,2,8,1,8,4,3,4,13,1,13,14,7,13,5,4,7,8,7,6,12,12,15,11,15,10,15,14,9,3,2,5,13,15,8,8,1,8,3,1,12,1,2,5,11,3,3,5,2,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,Predator 2 X-Pos,Predator 2 Y-Pos,
0,20,10,3,
1,19,8,10,7,5,8,3,
2,19,8,3,8,5,8,1,
3,19,9,3,9,5,
4,19,10,3,9,6,
5,19,10,4,10,6,
6,19,11,4,10,7,
7,19,12,4,10,8,
8,19,13,4,11,8,
9,19,13,5,11,9,
10,19,13,6,11,10,
11,19,14,6,12,10,
12,19,15,6,13,10,
13,19,15,6,14,10,
14,19,15,7,14,11,
15,19,15,8,14,12,
16,19,15,8,14,13,
17,19,15,9,14,14,
18,19,15,10,14,15,
19,19,15,10,14,15,
20,19,15,11,14,15,
21,19,15,12,14,15,
22,19,15,12,15,15,
23,19,15,12,15,15,
24,19,15,12,15,15,
25,19,15,12,15,15,
26,19,15,12,15,15,
27,19,15,12,15,15,
28,19,15,12,15,15,
29,19,15,13,15,15,
30,19,15,14,15,15,
31,19,15,15,15,15,
32,19,15,15,15,15,
33,19,15,15,15,15,
34,19,15,15,15,15,
35,19,15,15,15,15,
36,19,15,15,15,15,
37,19,15,15,15,15,
38,19,15,15,15,15,
39,19,15,15,15,15,
40,19,15,15,15,15,
41,19,15,15,15,15,
42,19,15,15,15,15,
43,19,15,15,15,15,
44,19,15,15,15,15,
45,19,15,15,15,15,
46,19,15,15,15,15,
47,19,15,15,15,15,
48,19,15,15,15,15,
49,19,15,15,15,15,
50,19,15,15,15,15,
